age,job,marital,education,default,balance,rentown,repairplan,contact,plannum,months,devices,poutcome,bresponse
59,management,married,secondary,no,42,rent,no,cellular,21,40,1,unknown,0
32,management,single,tertiary,no,2536,own,no,cellular,26,958,1,unknown,1
49,technician,married,tertiary,no,1235,rent,no,cellular,13,354,1,unknown,1
42,admin.,divorced,secondary,no,1811,own,no,unknown,14,150,1,unknown,0
78,retired,divorced,primary,no,229,rent,no,telephone,22,97,1,unknown,1
32,blue-collar,married,secondary,no,2089,own,no,cellular,14,132,1,unknown,1
33,management,married,secondary,no,3935,own,no,cellular,6,765,3,failure,1
23,services,single,tertiary,no,363,own,no,unknown,30,16,1,unknown,0
38,management,single,tertiary,no,11971,own,no,unknown,17,609,4,failure,0
36,management,single,tertiary,no,553,rent,no,cellular,11,106,1,unknown,0
52,blue-collar,married,secondary,no,1117,own,no,cellular,13,365,1,unknown,0
32,technician,married,tertiary,no,396,own,no,cellular,13,205,1,unknown,0
32,technician,single,tertiary,no,2204,own,no,cellular,21,11,1,unknown,0
34,management,single,tertiary,no,872,own,no,unknown,7,105,1,unknown,0
55,blue-collar,married,primary,no,145,rent,no,telephone,2,59,3,other,0
26,blue-collar,married,primary,no,0,own,no,unknown,21,425,1,unknown,0
32,entrepreneur,single,primary,yes,-849,own,yes,cellular,4,204,1,unknown,0
61,admin.,married,unknown,no,4629,own,no,cellular,27,181,2,success,1
45,blue-collar,divorced,primary,no,844,rent,no,unknown,5,1018,1,unknown,1
37,technician,single,secondary,no,228,own,no,cellular,20,1740,1,unknown,0
38,technician,single,secondary,no,50,rent,no,cellular,29,98,1,unknown,0
34,technician,married,tertiary,no,1539,own,no,cellular,15,441,2,other,1
53,blue-collar,married,secondary,no,2231,own,no,cellular,14,272,1,unknown,0
48,admin.,married,secondary,no,3064,own,no,telephone,15,159,1,unknown,0
57,management,married,secondary,no,82,rent,yes,telephone,4,140,1,unknown,0
33,self-employed,single,tertiary,no,2155,rent,no,cellular,17,295,1,unknown,0
36,retired,single,secondary,no,101,own,yes,unknown,26,314,1,unknown,0
54,technician,divorced,secondary,no,784,own,yes,unknown,15,579,1,unknown,0
41,blue-collar,married,primary,no,-516,rent,yes,telephone,8,554,1,unknown,0
63,retired,married,secondary,no,415,own,no,cellular,7,323,1,unknown,0
48,management,married,tertiary,no,5887,rent,no,cellular,13,227,1,unknown,0
48,services,married,secondary,no,1355,rent,no,cellular,4,134,1,unknown,0
56,admin.,married,secondary,no,16873,rent,no,cellular,7,223,1,unknown,0
51,blue-collar,divorced,secondary,no,203,own,no,cellular,8,134,6,failure,0
31,services,married,secondary,no,338,own,no,cellular,28,155,1,unknown,0
29,technician,married,secondary,no,444,own,no,cellular,21,130,1,unknown,0
41,management,married,secondary,no,0,rent,yes,cellular,7,630,1,unknown,0
32,technician,single,tertiary,no,360,rent,no,cellular,19,164,1,unknown,0
37,management,married,tertiary,no,0,rent,no,cellular,16,268,4,success,1
42,entrepreneur,divorced,tertiary,yes,2,own,no,unknown,5,380,1,unknown,0
31,management,single,tertiary,no,6248,own,no,unknown,9,154,1,unknown,0
41,services,married,tertiary,no,412,own,no,unknown,3,154,1,unknown,0
56,retired,married,secondary,no,344,own,no,unknown,15,221,1,unknown,0
54,management,divorced,tertiary,no,3222,rent,no,cellular,14,67,1,unknown,0
41,blue-collar,divorced,secondary,no,174,own,no,cellular,14,367,2,other,0
40,technician,single,secondary,no,591,rent,yes,cellular,14,87,1,unknown,0
50,blue-collar,divorced,primary,no,388,rent,no,cellular,5,701,1,unknown,0
40,unemployed,married,secondary,no,219,own,no,cellular,17,204,2,failure,0
27,admin.,divorced,secondary,no,451,own,no,cellular,16,652,1,unknown,1
60,retired,married,primary,no,5,rent,no,cellular,26,63,1,unknown,0
28,admin.,single,secondary,no,177,own,yes,cellular,6,150,1,unknown,0
52,services,married,secondary,no,657,rent,no,telephone,7,398,3,failure,1
37,management,married,tertiary,no,1315,rent,no,cellular,30,224,1,unknown,1
51,blue-collar,married,primary,no,1466,own,no,unknown,7,406,1,unknown,0
41,technician,single,secondary,no,879,rent,yes,cellular,7,60,1,unknown,0
35,blue-collar,single,primary,no,293,own,no,unknown,30,521,1,unknown,0
38,admin.,married,secondary,no,424,own,no,cellular,17,279,1,unknown,0
34,blue-collar,married,secondary,no,1831,own,no,unknown,20,203,1,unknown,0
39,blue-collar,married,primary,no,111,rent,no,cellular,18,201,1,unknown,0
34,blue-collar,married,primary,no,455,own,no,unknown,20,372,1,unknown,0
27,services,single,secondary,no,-195,own,no,cellular,18,391,1,unknown,1
32,management,single,tertiary,no,3616,rent,no,cellular,14,165,1,unknown,0
57,blue-collar,married,secondary,no,14093,rent,no,cellular,11,231,1,unknown,0
41,unknown,single,tertiary,no,1567,rent,no,cellular,1,291,1,unknown,0
41,admin.,married,tertiary,no,5426,own,no,unknown,14,149,1,unknown,0
30,admin.,single,tertiary,no,261,rent,no,cellular,19,233,21,failure,0
36,blue-collar,divorced,secondary,no,2843,rent,no,cellular,12,473,2,success,0
31,unemployed,single,primary,no,406,rent,no,cellular,4,736,1,unknown,1
36,blue-collar,married,secondary,no,0,own,no,unknown,6,337,1,unknown,0
38,management,single,tertiary,no,493,own,no,cellular,11,553,8,failure,0
49,technician,married,secondary,no,5996,rent,no,telephone,21,345,1,unknown,0
57,services,single,primary,no,3777,own,no,telephone,13,65,1,unknown,0
34,management,single,secondary,no,524,rent,no,unknown,13,9,1,unknown,0
32,management,single,tertiary,no,574,own,no,cellular,14,259,4,failure,0
37,blue-collar,married,secondary,no,427,own,yes,unknown,9,371,1,unknown,0
33,self-employed,married,tertiary,no,483,own,no,cellular,3,280,1,unknown,0
56,unemployed,married,primary,no,3391,rent,no,cellular,21,243,1,unknown,1
27,housemaid,married,primary,no,0,own,no,cellular,23,435,1,unknown,0
21,student,single,secondary,no,2488,rent,no,cellular,30,258,4,success,1
58,management,married,tertiary,no,1517,own,no,telephone,29,7,1,unknown,0
32,self-employed,married,secondary,no,217,own,yes,cellular,15,317,1,unknown,0
33,blue-collar,single,secondary,no,22,rent,no,cellular,30,76,2,failure,0
25,student,single,secondary,no,331,rent,no,telephone,26,170,1,unknown,1
25,technician,single,secondary,no,505,rent,yes,cellular,17,386,1,unknown,1
30,services,married,secondary,no,1808,own,no,cellular,18,83,1,unknown,0
22,admin.,single,secondary,no,4111,rent,yes,cellular,19,65,1,unknown,0
39,blue-collar,married,primary,no,52,rent,no,cellular,13,69,1,unknown,0
46,management,divorced,tertiary,no,25,rent,no,unknown,17,564,1,unknown,0
31,admin.,divorced,secondary,no,1890,own,no,cellular,21,588,1,unknown,0
45,blue-collar,married,primary,no,419,rent,no,cellular,18,113,1,unknown,0
32,technician,married,secondary,no,2693,own,no,unknown,21,16,1,unknown,0
36,blue-collar,married,secondary,no,-231,rent,yes,cellular,15,779,1,unknown,0
51,management,single,tertiary,yes,-55,own,no,cellular,11,281,7,failure,0
34,self-employed,single,tertiary,no,462,rent,no,cellular,21,1877,1,unknown,1
24,unemployed,single,secondary,no,119,rent,no,unknown,15,51,1,unknown,0
45,technician,single,secondary,no,586,rent,yes,cellular,28,32,1,unknown,0
32,blue-collar,single,secondary,no,228,rent,no,telephone,5,176,4,failure,0
77,retired,divorced,tertiary,no,4659,rent,no,cellular,14,161,1,unknown,1
41,blue-collar,married,primary,no,168,own,no,cellular,18,187,1,unknown,0
37,blue-collar,married,primary,no,0,own,no,unknown,26,24,1,unknown,0
43,blue-collar,married,unknown,yes,-715,own,no,unknown,30,67,1,unknown,0
48,admin.,married,unknown,no,0,own,no,cellular,8,85,3,failure,0
27,technician,single,secondary,no,769,own,no,unknown,9,317,1,unknown,0
33,management,single,tertiary,no,0,rent,no,cellular,28,236,1,unknown,0
29,admin.,single,secondary,no,428,own,yes,cellular,7,54,3,failure,0
34,management,single,tertiary,no,0,rent,no,cellular,5,71,1,unknown,0
52,management,married,tertiary,no,-970,own,no,cellular,4,489,1,unknown,1
60,management,married,unknown,no,6313,rent,no,unknown,19,39,1,unknown,0
32,management,divorced,tertiary,no,948,rent,no,cellular,12,204,1,unknown,0
32,management,single,tertiary,no,0,own,no,cellular,22,455,1,unknown,0
56,services,divorced,unknown,no,1877,own,no,unknown,30,86,1,unknown,0
31,management,single,tertiary,no,874,own,no,cellular,18,190,1,unknown,0
42,admin.,married,secondary,no,323,own,yes,unknown,8,280,1,unknown,0
35,management,married,tertiary,no,106,rent,yes,cellular,11,588,1,unknown,0
56,retired,married,primary,no,1906,rent,yes,unknown,19,45,1,unknown,0
48,technician,married,secondary,no,1152,own,no,cellular,21,168,1,unknown,0
46,admin.,married,secondary,no,179,own,no,cellular,29,194,2,other,0
37,technician,single,unknown,no,391,own,no,unknown,8,103,1,unknown,0
41,entrepreneur,married,unknown,no,89,own,no,unknown,6,333,1,unknown,0
36,management,single,tertiary,no,442,own,yes,cellular,29,102,1,unknown,0
45,unemployed,divorced,primary,yes,-249,own,yes,unknown,1,92,1,unknown,0
55,entrepreneur,married,secondary,no,8104,rent,no,cellular,6,213,1,unknown,0
39,technician,married,secondary,no,501,rent,no,unknown,26,289,1,unknown,0
35,technician,divorced,secondary,no,308,rent,no,cellular,22,77,1,unknown,0
55,admin.,married,secondary,no,602,rent,no,cellular,1,324,3,success,1
55,technician,married,secondary,no,273,own,no,cellular,29,84,4,failure,0
27,self-employed,single,secondary,no,50,rent,no,cellular,29,168,1,unknown,0
34,technician,married,secondary,no,1641,own,no,cellular,17,380,1,unknown,0
34,blue-collar,married,tertiary,no,20,rent,no,unknown,4,10,1,unknown,0
25,admin.,single,secondary,no,4590,own,no,unknown,28,199,1,unknown,0
41,admin.,single,secondary,no,-256,rent,yes,unknown,9,35,1,unknown,0
43,services,married,secondary,no,978,own,yes,unknown,26,82,1,unknown,0
28,management,single,tertiary,no,80,rent,no,cellular,20,676,3,failure,1
31,admin.,single,secondary,no,2104,own,no,unknown,3,455,1,unknown,0
78,housemaid,married,secondary,no,499,rent,no,telephone,16,80,1,unknown,0
45,blue-collar,divorced,secondary,no,1269,own,no,cellular,29,549,1,unknown,0
48,technician,married,tertiary,no,310,rent,no,unknown,6,135,1,unknown,0
32,blue-collar,single,secondary,no,1143,own,yes,cellular,10,412,1,unknown,0
42,technician,married,secondary,no,2980,rent,no,unknown,20,101,1,unknown,0
37,management,single,tertiary,no,37,rent,no,cellular,28,253,1,unknown,0
40,admin.,single,secondary,no,462,own,yes,cellular,6,272,5,other,0
32,admin.,married,secondary,no,1031,own,no,cellular,17,84,1,unknown,0
42,management,married,tertiary,no,9009,rent,no,cellular,20,135,1,unknown,0
43,admin.,married,secondary,no,-465,own,yes,cellular,23,166,1,unknown,0
44,admin.,married,secondary,no,5181,own,yes,cellular,31,18,1,unknown,0
37,admin.,married,secondary,no,176,own,no,cellular,5,147,2,failure,0
37,unknown,married,unknown,no,1699,rent,no,unknown,9,63,1,unknown,0
37,admin.,married,tertiary,no,0,own,no,cellular,17,65,2,failure,0
28,technician,single,tertiary,no,172,own,yes,cellular,2,194,1,unknown,0
32,services,single,secondary,no,0,rent,yes,cellular,11,333,1,unknown,0
34,admin.,single,secondary,no,6979,own,no,cellular,15,14,1,unknown,0
40,admin.,divorced,secondary,no,6,rent,no,unknown,11,140,1,unknown,0
34,services,married,secondary,no,-62,own,no,unknown,16,109,1,unknown,0
34,self-employed,married,tertiary,no,1972,own,no,cellular,23,61,1,unknown,0
34,admin.,married,tertiary,no,899,own,no,telephone,19,377,5,success,0
37,services,single,secondary,no,21,own,no,cellular,2,96,3,other,0
36,technician,married,secondary,no,23,own,no,cellular,8,152,2,failure,0
56,retired,married,secondary,no,-1206,own,no,cellular,15,382,1,unknown,1
49,blue-collar,married,primary,no,0,own,yes,telephone,23,97,1,unknown,0
33,self-employed,married,secondary,no,215,own,no,cellular,29,543,1,unknown,0
30,management,single,tertiary,no,1372,rent,no,cellular,20,240,1,unknown,0
36,services,married,secondary,no,1981,rent,no,unknown,17,48,1,unknown,0
23,student,single,secondary,no,9216,rent,no,cellular,5,471,1,unknown,0
57,retired,divorced,secondary,no,39,own,no,cellular,30,354,1,unknown,0
27,blue-collar,single,secondary,no,5563,own,no,unknown,30,435,1,unknown,0
38,services,married,secondary,no,1,rent,yes,cellular,21,152,1,unknown,0
42,technician,married,tertiary,no,782,rent,no,cellular,3,285,1,unknown,0
75,retired,married,secondary,no,3771,rent,no,telephone,15,185,3,success,1
34,technician,single,tertiary,no,992,own,no,cellular,4,301,3,success,0
48,technician,married,secondary,no,1526,rent,no,cellular,6,273,1,unknown,0
35,technician,single,tertiary,no,2658,own,no,cellular,19,768,4,failure,1
39,management,divorced,tertiary,no,1315,own,no,cellular,19,1337,2,failure,0
29,blue-collar,single,tertiary,no,455,rent,no,telephone,21,403,1,unknown,1
45,technician,single,tertiary,no,0,own,no,cellular,18,139,1,unknown,0
42,technician,married,secondary,no,2030,own,yes,cellular,9,196,1,unknown,0
29,technician,married,secondary,no,1599,own,no,cellular,8,115,2,failure,0
38,services,single,secondary,no,-196,own,no,cellular,2,60,2,failure,0
56,retired,married,secondary,no,1333,rent,no,cellular,28,17,1,unknown,0
36,technician,single,secondary,no,9149,own,no,cellular,13,141,1,unknown,0
25,blue-collar,single,secondary,no,-350,own,no,unknown,23,95,1,unknown,0
38,technician,married,tertiary,no,432,own,no,cellular,15,10,2,other,0
57,self-employed,married,secondary,no,11494,rent,no,cellular,19,198,1,unknown,0
31,management,married,tertiary,yes,-253,rent,no,cellular,12,220,1,unknown,0
42,management,married,tertiary,no,372,own,no,cellular,3,654,1,unknown,1
45,technician,married,secondary,no,1410,rent,no,cellular,11,71,1,unknown,0
30,blue-collar,married,secondary,no,975,own,no,cellular,13,256,3,failure,0
49,blue-collar,married,primary,no,305,own,yes,telephone,10,834,1,unknown,0
49,services,married,secondary,no,400,rent,no,cellular,21,151,1,unknown,0
53,retired,married,tertiary,no,-22,own,no,cellular,31,20,1,unknown,0
37,technician,married,secondary,no,4030,own,no,unknown,26,178,1,unknown,0
49,blue-collar,married,primary,no,365,rent,no,unknown,26,59,1,unknown,0
41,self-employed,married,primary,no,204,rent,no,cellular,13,111,1,unknown,0
54,management,married,primary,no,1691,own,no,cellular,20,186,1,unknown,0
32,services,single,secondary,no,406,own,no,unknown,6,227,1,unknown,0
33,technician,married,secondary,no,-204,rent,no,cellular,15,297,1,unknown,0
33,technician,married,secondary,no,359,own,no,cellular,20,210,2,other,0
36,blue-collar,married,primary,no,123,own,no,cellular,18,9,1,unknown,0
35,technician,married,tertiary,no,0,own,yes,cellular,23,112,7,other,0
52,unknown,married,secondary,no,142,rent,no,cellular,25,112,1,unknown,0
40,entrepreneur,married,tertiary,no,3571,rent,no,unknown,9,222,1,unknown,0
44,technician,single,secondary,no,33,own,no,cellular,13,195,11,failure,0
45,blue-collar,single,secondary,no,0,own,no,cellular,26,768,6,success,0
30,student,single,secondary,no,3096,rent,no,cellular,26,123,1,unknown,0
48,technician,divorced,secondary,yes,20,rent,no,cellular,27,145,1,unknown,0
33,blue-collar,married,secondary,no,3576,own,no,cellular,2,124,3,other,0
57,technician,married,unknown,no,206,own,no,unknown,5,216,1,unknown,0
57,housemaid,married,primary,no,7082,rent,no,unknown,6,69,1,unknown,0
51,unemployed,married,tertiary,no,1634,own,no,cellular,22,168,1,unknown,0
34,admin.,single,secondary,no,1,own,no,cellular,22,483,1,unknown,0
50,self-employed,married,tertiary,no,4012,rent,no,cellular,19,690,1,unknown,0
44,management,married,tertiary,no,3762,rent,no,cellular,28,125,1,unknown,0
27,admin.,married,secondary,no,-247,own,yes,unknown,4,344,1,unknown,0
50,blue-collar,married,secondary,no,606,own,no,unknown,14,673,1,unknown,0
36,management,married,tertiary,no,0,own,no,cellular,28,60,2,other,0
42,management,married,secondary,no,-189,own,no,unknown,12,247,1,unknown,0
32,unemployed,single,secondary,no,0,rent,no,cellular,27,123,1,unknown,0
42,management,married,tertiary,no,484,own,no,cellular,11,144,1,unknown,0
43,technician,married,secondary,no,0,rent,yes,cellular,8,9,6,failure,0
31,management,married,tertiary,no,395,own,no,cellular,9,155,1,unknown,0
32,management,married,tertiary,no,2349,rent,no,cellular,14,134,1,unknown,0
55,blue-collar,divorced,primary,no,410,rent,yes,cellular,11,221,1,unknown,0
58,retired,married,primary,no,3401,own,no,cellular,3,84,3,failure,0
46,blue-collar,married,primary,no,222,rent,no,cellular,8,71,1,unknown,0
55,blue-collar,married,secondary,no,989,own,yes,unknown,23,246,1,unknown,0
34,management,married,tertiary,no,415,rent,yes,cellular,23,361,1,unknown,0
28,unemployed,single,secondary,no,16,rent,no,cellular,12,119,1,unknown,0
42,technician,divorced,tertiary,no,7190,own,no,cellular,29,375,1,unknown,0
29,blue-collar,single,secondary,no,482,rent,yes,cellular,10,1097,1,unknown,1
54,housemaid,married,secondary,no,209,own,yes,cellular,25,97,1,unknown,0
32,technician,single,secondary,no,0,rent,no,cellular,26,181,1,unknown,0
39,technician,single,tertiary,no,5803,rent,no,cellular,2,83,1,unknown,0
53,entrepreneur,married,tertiary,no,624,rent,yes,cellular,21,180,1,unknown,0
58,technician,married,tertiary,no,883,rent,no,cellular,18,543,3,failure,0
40,self-employed,married,secondary,no,1516,own,yes,unknown,23,373,1,unknown,0
29,student,single,secondary,no,872,own,no,unknown,7,230,1,unknown,0
33,technician,married,tertiary,no,-988,own,yes,cellular,15,83,1,unknown,0
38,admin.,single,secondary,no,902,own,no,telephone,31,58,1,unknown,0
56,services,divorced,secondary,no,1007,rent,no,cellular,29,88,1,unknown,0
40,services,married,secondary,no,0,own,no,cellular,2,297,4,failure,0
24,blue-collar,single,secondary,no,174,own,yes,cellular,18,487,1,unknown,1
46,management,married,secondary,no,12186,rent,no,unknown,20,29,1,unknown,0
35,self-employed,married,secondary,no,524,own,no,cellular,21,484,1,unknown,0
35,blue-collar,single,tertiary,no,0,own,no,cellular,21,262,1,unknown,0
34,technician,married,secondary,no,4,own,no,unknown,15,644,1,unknown,0
35,housemaid,married,tertiary,no,11219,rent,no,cellular,12,699,2,failure,0
38,technician,single,tertiary,no,0,rent,no,cellular,28,247,1,unknown,0
50,blue-collar,married,primary,no,5776,rent,no,cellular,18,49,1,unknown,0
51,blue-collar,divorced,primary,no,37,own,no,cellular,13,341,1,unknown,0
59,self-employed,married,tertiary,no,593,rent,no,unknown,13,64,1,unknown,0
32,blue-collar,married,secondary,no,1148,own,no,cellular,20,121,1,unknown,0
37,blue-collar,single,secondary,no,3561,own,no,unknown,2,98,1,unknown,0
42,admin.,divorced,secondary,no,63,rent,no,unknown,16,88,1,unknown,0
40,student,married,secondary,no,260,rent,no,unknown,20,197,1,unknown,0
28,technician,single,tertiary,no,2269,own,no,unknown,9,331,1,unknown,0
47,admin.,married,secondary,no,1060,own,no,unknown,6,83,1,unknown,0
27,self-employed,married,secondary,no,-220,own,no,unknown,26,138,1,unknown,0
41,management,married,tertiary,no,49,own,no,cellular,17,312,1,unknown,0
34,admin.,married,tertiary,no,69,rent,yes,cellular,4,120,7,success,1
50,blue-collar,married,primary,no,4108,own,no,cellular,7,526,1,unknown,1
47,blue-collar,married,secondary,no,480,own,no,unknown,28,211,1,unknown,0
53,services,married,secondary,no,4994,rent,no,cellular,18,62,1,unknown,0
53,technician,divorced,secondary,no,0,own,yes,cellular,15,135,1,unknown,0
47,management,married,tertiary,no,3681,rent,no,cellular,14,101,1,unknown,0
49,entrepreneur,divorced,unknown,yes,-701,own,no,cellular,30,988,1,unknown,1
29,management,married,tertiary,no,451,rent,no,cellular,28,451,1,unknown,0
45,blue-collar,divorced,primary,no,-311,own,no,unknown,23,1030,1,unknown,1
38,entrepreneur,married,secondary,no,593,own,yes,cellular,24,1484,1,unknown,1
32,blue-collar,married,secondary,no,759,own,no,cellular,9,317,1,unknown,1
70,retired,divorced,primary,no,4531,rent,no,cellular,18,445,1,unknown,0
65,retired,divorced,primary,no,1840,rent,no,cellular,1,383,6,failure,0
56,blue-collar,married,secondary,no,345,own,no,telephone,22,605,1,unknown,0
35,blue-collar,married,secondary,no,1287,own,no,cellular,14,330,1,unknown,0
56,management,married,unknown,no,353,rent,yes,cellular,25,171,1,unknown,0
56,technician,married,secondary,no,205,rent,yes,cellular,23,442,1,unknown,0
49,entrepreneur,married,secondary,no,687,own,no,cellular,17,772,1,unknown,1
38,unemployed,married,primary,no,1147,own,yes,unknown,8,249,1,unknown,0
35,management,married,tertiary,no,4286,own,no,unknown,9,357,1,unknown,0
38,admin.,married,tertiary,no,605,rent,no,cellular,18,147,1,unknown,0
49,blue-collar,married,secondary,no,8545,own,yes,cellular,6,199,2,failure,0
55,management,married,unknown,no,559,rent,no,cellular,28,271,1,unknown,0
43,blue-collar,single,primary,no,2,own,no,cellular,30,783,1,unknown,0
43,management,married,tertiary,no,2,rent,yes,cellular,20,472,1,unknown,0
25,admin.,single,tertiary,no,760,own,no,cellular,27,223,3,failure,1
30,blue-collar,married,primary,no,1317,own,no,unknown,21,395,1,unknown,0
46,blue-collar,married,secondary,no,182,rent,no,cellular,4,56,1,unknown,0
50,admin.,married,primary,no,276,rent,yes,unknown,17,641,1,unknown,0
35,entrepreneur,married,secondary,no,2971,rent,no,cellular,4,429,3,failure,1
26,unemployed,single,secondary,no,1064,rent,no,unknown,31,113,1,unknown,0
45,admin.,married,unknown,no,1783,rent,no,unknown,20,11,1,unknown,0
37,blue-collar,married,secondary,no,-67,rent,no,cellular,2,157,1,unknown,0
60,self-employed,single,tertiary,no,179,rent,yes,cellular,29,79,1,unknown,0
38,management,married,tertiary,no,1199,rent,no,cellular,4,178,2,success,1
47,blue-collar,married,primary,no,214,own,yes,unknown,9,168,1,unknown,0
33,technician,married,secondary,no,6699,rent,no,cellular,9,425,2,failure,0
51,unemployed,married,secondary,no,1760,rent,yes,cellular,19,162,1,unknown,0
35,entrepreneur,single,tertiary,no,145,own,no,cellular,18,799,1,unknown,1
35,unemployed,married,secondary,no,978,rent,no,cellular,29,1370,4,success,1
48,admin.,single,secondary,no,1150,own,no,unknown,28,357,1,unknown,0
37,admin.,married,secondary,no,121,rent,no,cellular,22,22,1,unknown,0
29,technician,single,tertiary,no,828,own,no,cellular,16,215,4,other,0
34,admin.,married,secondary,no,244,own,no,cellular,31,56,1,unknown,0
32,services,married,primary,no,228,own,no,cellular,21,1017,1,unknown,1
30,management,single,tertiary,no,424,rent,no,cellular,16,298,1,unknown,1
47,management,divorced,tertiary,no,447,rent,yes,unknown,7,126,1,unknown,0
33,blue-collar,married,primary,no,-195,rent,no,unknown,20,9,1,unknown,0
33,management,single,tertiary,no,1410,own,no,cellular,5,8,6,failure,0
63,retired,married,primary,no,1084,rent,no,cellular,14,201,2,success,0
51,self-employed,divorced,primary,no,10924,rent,no,cellular,6,106,1,unknown,0
41,management,married,tertiary,no,832,own,yes,cellular,21,164,2,failure,0
56,retired,married,tertiary,no,478,rent,no,cellular,5,97,1,unknown,0
60,management,single,tertiary,no,0,rent,yes,cellular,23,151,1,unknown,0
41,self-employed,single,tertiary,no,3950,own,no,unknown,30,96,1,unknown,0
37,management,single,unknown,no,504,own,no,cellular,16,555,1,unknown,0
36,blue-collar,single,secondary,no,219,own,yes,cellular,11,270,2,failure,0
57,management,married,tertiary,no,1602,rent,no,cellular,29,339,1,unknown,0
55,management,married,primary,no,2587,rent,no,cellular,4,328,3,success,1
44,admin.,married,secondary,no,0,own,yes,unknown,16,159,1,unknown,0
47,self-employed,married,tertiary,no,2303,own,no,cellular,6,323,2,failure,0
31,blue-collar,married,secondary,no,1660,own,no,cellular,20,342,1,unknown,0
35,management,married,tertiary,yes,32,own,no,cellular,21,180,1,unknown,0
39,management,married,tertiary,no,278,rent,yes,cellular,28,60,1,unknown,0
50,management,married,tertiary,no,4,rent,no,cellular,17,223,3,failure,0
29,management,married,tertiary,no,318,own,no,cellular,18,1434,5,failure,0
30,services,single,secondary,no,209,own,no,unknown,6,30,1,unknown,0
46,services,married,secondary,no,271,own,no,unknown,16,134,1,unknown,0
27,management,single,unknown,no,3196,rent,no,cellular,9,10,1,unknown,0
48,admin.,divorced,secondary,no,4099,rent,no,cellular,2,397,1,unknown,1
26,student,single,secondary,no,2572,own,no,cellular,5,620,1,unknown,0
36,management,single,tertiary,no,339,rent,no,cellular,21,6,1,unknown,0
42,blue-collar,married,primary,no,0,own,yes,cellular,7,209,1,unknown,0
50,housemaid,married,primary,no,395,own,no,unknown,15,419,1,unknown,0
49,blue-collar,married,secondary,no,2039,own,no,cellular,18,283,1,unknown,0
45,management,married,tertiary,no,5450,rent,no,cellular,8,188,1,unknown,0
23,student,single,secondary,no,780,rent,no,cellular,16,267,1,unknown,0
38,technician,single,secondary,no,0,own,no,cellular,7,196,1,unknown,0
32,management,single,tertiary,no,8436,own,no,cellular,17,245,3,failure,0
60,technician,single,primary,no,11262,rent,no,cellular,26,323,1,unknown,1
30,entrepreneur,married,secondary,no,946,own,no,cellular,19,1065,2,other,0
58,housemaid,married,tertiary,no,497,rent,no,unknown,11,138,1,unknown,0
60,retired,married,primary,no,55,rent,no,cellular,4,207,1,unknown,0
38,services,married,secondary,no,-140,rent,no,unknown,25,456,1,unknown,0
51,technician,married,secondary,no,-379,own,no,cellular,5,261,1,unknown,0
42,admin.,married,secondary,no,-396,own,no,cellular,11,80,5,failure,0
30,services,single,secondary,no,0,own,no,cellular,18,131,10,failure,0
